bank_account,claim_date,claim_id,claim_location,insurer_address,insurer_email,insurer_id,insurer_license_plate,insurer_name,insurer_phone_number,repair_shop,type_of_claim,third_party_license_plate,fraud,bank_account_used_to_connect_claims,betweenness_centrality,claim_location_used_to_connect_claims,closeness_centrality,component_size,connections_info,degree_centrality,insurer_address_used_to_connect_claims,insurer_email_used_to_connect_claims,insurer_license_plate_used_to_connect_claims,insurer_phone_number_used_to_connect_claims,repair_shop_used_to_connect_claims,third_party_license_plate_used_to_connect_claims,unique_bank_accounts_in_component,unique_claim_locations_in_component,unique_insurer_addresss_in_component,unique_insurer_emails_in_component,unique_insurer_license_plates_in_component,unique_insurer_phone_numbers_in_component,unique_repair_shops_in_component,unique_third_party_license_plates_in_component
ES82859036,2024-07-03,1028b1e7,Zone_20,20 Avenida Central,insured_77@mail.com,30cb6352,HJ6341,Insured_77,600596153,repair_13,collision,,1,2,0.0,2,0.2903225806451613,10,"[{""connected_to"": ""48734acd"", ""via"": ""repair_shop"", ""value"": ""repair_13""}]",0.1111111111111111,1,0,0,3,1,0,8,8,9,10,10,6,9,3
ES42953246,2024-07-03,d8033cc3,Zone_16,39 Avenida Central,insured_118@mail.com,dabdc7f6,LC4785,Insured_118,600664650,repair_31,injury,,1,0,0.0,0,0.0,1,[],1.0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
ES87084490,2024-07-03,dbb83833,Zone_64,31 Avenida Central,insured_101@mail.com,3f6906a8,EJ2984,Insured_101,600997261,repair_28,injury,,1,2,0.0,2,0.32142857142857145,10,"[{""connected_to"": ""3dbeee40"", ""via"": ""bank_account"", ""value"": ""ES87084490""}]",0.1111111111111111,1,0,0,3,1,0,8,8,9,10,10,6,9,3
ES54795355,2024-07-04,ab824ba6,Zone_35,12 Avenida Central,insured_10@mail.com,63a52e08,PD7111,Insured_10,600335293,repair_33,collision,OO4562,1,2,0.0,3,0.4375,15,"[{""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""48734acd"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""a25a1ebb"", ""via"": ""insurer_phone_number"", ""value"": 600335293}]",0.21428571428571427,1,0,1,3,2,0,12,12,13,15,14,9,12,8
ES87084490,2024-07-04,a25a1ebb,Zone_32,12 Avenida Central,insured_108@mail.com,4dfef435,DG3242,Insured_108,600335293,repair_38,collision,KD4732,1,2,0.28571428571428575,3,0.5,15,"[{""connected_to"": ""3dbeee40"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""4f111138"", ""via"": ""repair_shop"", ""value"": ""repair_38""}, {""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""48734acd"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""dbb83833"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""ab824ba6"", ""via"": ""insurer_phone_number"", ""value"": 600335293}]",0.42857142857142855,1,0,1,3,2,0,12,12,13,15,14,9,12,8
ES73593231,2024-07-04,b9d5e6dc,Zone_78,38 Avenida Central,insured_75@mail.com,f2fe42ad,EL1845,Insured_75,600621704,repair_7,collision,FA6037,1,2,0.14285714285714288,3,0.35,15,"[{""connected_to"": ""b40777f6"", ""via"": ""insurer_license_plate"", ""value"": ""EL1845""}, {""connected_to"": ""a4b96898"", ""via"": ""claim_location"", ""value"": ""Zone_78""}]",0.14285714285714285,1,0,1,3,2,0,12,12,13,15,14,9,12,8
ES42953246,2024-07-06,4c287ede,Zone_12,18 Avenida Central,insured_84@mail.com,6551d2fd,EF7402,Insured_84,600596153,repair_11,collision,AF6232,1,5,0.0632448040944773,5,0.4444444444444444,29,"[{""connected_to"": ""90a7e45b"", ""via"": ""insurer_address"", ""value"": ""18 Avenida Central""}, {""connected_to"": ""3dbeee40"", ""via"": ""claim_location"", ""value"": ""Zone_12""}, {""connected_to"": ""1028b1e7"", ""via"": ""insurer_phone_number"", ""value"": 600596153}, {""connected_to"": ""d8033cc3"", ""via"": ""bank_account"", ""value"": ""ES42953246""}, {""connected_to"": ""7c9666a8"", ""via"": ""insurer_address"", ""value"": ""18 Avenida Central""}]",0.17857142857142855,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES82859036,2024-07-06,9849c843,Zone_2,33 Avenida Central,insured_112@mail.com,da5b8abb,IO5099,Insured_112,600446081,repair_5,injury,,0,5,0.022845804988662132,5,0.45161290322580644,29,"[{""connected_to"": ""a2cef4f7"", ""via"": ""insurer_phone_number"", ""value"": 600446081}, {""connected_to"": ""a4b96898"", ""via"": ""insurer_phone_number"", ""value"": 600446081}, {""connected_to"": ""1028b1e7"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""7c9666a8"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""5adc9a25"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""f28e3ec7"", ""via"": ""insurer_phone_number"", ""value"": 600446081}]",0.21428571428571427,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES87084490,2024-07-06,fc2f929f,Zone_25,32 Avenida Central,insured_100@mail.com,e60e4927,MH3801,Insured_100,600379103,repair_30,collision,ON9677,1,5,0.04446963970773494,5,0.4375,29,"[{""connected_to"": ""3dbeee40"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""b40777f6"", ""via"": ""repair_shop"", ""value"": ""repair_30""}, {""connected_to"": ""dbb83833"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""a25a1ebb"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""2db8cd46"", ""via"": ""bank_account"", ""value"": ""ES87084490""}]",0.17857142857142855,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES82859036,2024-07-06,7c9666a8,Zone_45,18 Avenida Central,insured_90@mail.com,a5c732d5,EI7604,Insured_90,600354258,repair_21,injury,CD9479,1,5,0.05603969983054951,5,0.5,29,"[{""connected_to"": ""90a7e45b"", ""via"": ""insurer_address"", ""value"": ""18 Avenida Central""}, {""connected_to"": ""1028b1e7"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""4c287ede"", ""via"": ""insurer_address"", ""value"": ""18 Avenida Central""}, {""connected_to"": ""9849c843"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""5adc9a25"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""51ef5249"", ""via"": ""claim_location"", ""value"": ""Zone_45""}, {""connected_to"": ""f28e3ec7"", ""via"": ""bank_account"", ""value"": ""ES82859036""}]",0.25,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES87084490,2024-07-06,2db8cd46,Zone_46,5 Avenida Central,insured_85@mail.com,e9595109,PC6530,Insured_85,600621704,repair_16,injury,,1,5,0.04180808125719423,5,0.45901639344262296,29,"[{""connected_to"": ""3dbeee40"", ""via"": ""insurer_address"", ""value"": ""5 Avenida Central""}, {""connected_to"": ""dbb83833"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""a25a1ebb"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""b9d5e6dc"", ""via"": ""insurer_phone_number"", ""value"": 600621704}, {""connected_to"": ""fc2f929f"", ""via"": ""bank_account"", ""value"": ""ES87084490""}, {""connected_to"": ""51ef5249"", ""via"": ""insurer_address"", ""value"": ""5 Avenida Central""}]",0.21428571428571427,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES14234477,2024-07-06,4cb83c72,Zone_13,34 Avenida Central,insured_41@mail.com,04e2d329,LP4677,Insured_41,600809302,repair_25,injury,,1,5,0.014035861258083478,5,0.3684210526315789,29,"[{""connected_to"": ""5adc9a25"", ""via"": ""insurer_phone_number"", ""value"": 600809302}, {""connected_to"": ""1b005a35"", ""via"": ""insurer_address"", ""value"": ""34 Avenida Central""}]",0.07142857142857142,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES82859036,2024-07-06,5adc9a25,Zone_50,16 Avenida Central,insured_137@mail.com,36485da9,BH5441,Insured_137,600809302,repair_32,injury,,1,5,0.08921482173116159,5,0.49122807017543857,29,"[{""connected_to"": ""c06aa294"", ""via"": ""repair_shop"", ""value"": ""repair_32""}, {""connected_to"": ""48734acd"", ""via"": ""insurer_address"", ""value"": ""16 Avenida Central""}, {""connected_to"": ""1028b1e7"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""9849c843"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""7c9666a8"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""4cb83c72"", ""via"": ""insurer_phone_number"", ""value"": 600809302}, {""connected_to"": ""f28e3ec7"", ""via"": ""bank_account"", ""value"": ""ES82859036""}]",0.25,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES38273233,2024-07-06,51ef5249,Zone_45,5 Avenida Central,insured_197@mail.com,9d479405,PA7291,Insured_197,600335293,repair_23,collision,CF3049,1,5,0.055581491856001655,5,0.4827586206896552,29,"[{""connected_to"": ""3dbeee40"", ""via"": ""insurer_address"", ""value"": ""5 Avenida Central""}, {""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""48734acd"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""ab824ba6"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""a25a1ebb"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""7c9666a8"", ""via"": ""claim_location"", ""value"": ""Zone_45""}, {""connected_to"": ""2db8cd46"", ""via"": ""insurer_address"", ""value"": ""5 Avenida Central""}, {""connected_to"": ""7634221b"", ""via"": ""repair_shop"", ""value"": ""repair_23""}]",0.2857142857142857,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES54532647,2024-07-06,7634221b,Zone_9,31 Avenida Central,insured_150@mail.com,4503da1b,OD8760,Insured_150,600997261,repair_23,injury,,1,5,0.015638107094689727,5,0.417910447761194,29,"[{""connected_to"": ""dbfb58bf"", ""via"": ""bank_account"", ""value"": ""ES54532647""}, {""connected_to"": ""a4b96898"", ""via"": ""bank_account"", ""value"": ""ES54532647""}, {""connected_to"": ""dbb83833"", ""via"": ""insurer_phone_number"", ""value"": 600997261}, {""connected_to"": ""51ef5249"", ""via"": ""repair_shop"", ""value"": ""repair_23""}]",0.14285714285714285,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES67781085,2024-07-06,1b005a35,Zone_8,34 Avenida Central,insured_34@mail.com,34cd82c2,BB6528,Insured_34,600664650,repair_0,collision,JK4959,1,5,0.03987150415721844,5,0.3783783783783784,29,"[{""connected_to"": ""b40777f6"", ""via"": ""bank_account"", ""value"": ""ES67781085""}, {""connected_to"": ""d8033cc3"", ""via"": ""insurer_phone_number"", ""value"": 600664650}, {""connected_to"": ""4cb83c72"", ""via"": ""insurer_address"", ""value"": ""34 Avenida Central""}, {""connected_to"": ""5d452b93"", ""via"": ""bank_account"", ""value"": ""ES67781085""}]",0.14285714285714285,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES51016557,2024-07-06,7efe7072,Zone_63,8 Avenida Central,insured_12@mail.com,c13629c6,KA2644,Insured_12,600768374,repair_7,collision,CE9713,1,5,0.005599647266313933,5,0.4,29,"[{""connected_to"": ""b9d5e6dc"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""f28e3ec7"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""5d452b93"", ""via"": ""insurer_phone_number"", ""value"": 600768374}]",0.10714285714285714,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES82859036,2024-07-06,f28e3ec7,Zone_63,19 Avenida Central,insured_6@mail.com,0c507ded,MK1939,Insured_6,600446081,repair_7,injury,IB6158,1,5,0.08126361655773419,5,0.49122807017543857,29,"[{""connected_to"": ""a2cef4f7"", ""via"": ""insurer_phone_number"", ""value"": 600446081}, {""connected_to"": ""a4b96898"", ""via"": ""insurer_phone_number"", ""value"": 600446081}, {""connected_to"": ""1028b1e7"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""b9d5e6dc"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""9849c843"", ""via"": ""insurer_phone_number"", ""value"": 600446081}, {""connected_to"": ""7c9666a8"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""5adc9a25"", ""via"": ""bank_account"", ""value"": ""ES82859036""}, {""connected_to"": ""7efe7072"", ""via"": ""repair_shop"", ""value"": ""repair_7""}]",0.2857142857142857,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES67781085,2024-07-06,5d452b93,Zone_55,17 Avenida Central,insured_32@mail.com,aecb804a,KF7403,Insured_32,600768374,repair_14,injury,,1,5,0.055501212830811324,5,0.4307692307692308,29,"[{""connected_to"": ""c06aa294"", ""via"": ""claim_location"", ""value"": ""Zone_55""}, {""connected_to"": ""a2cef4f7"", ""via"": ""claim_location"", ""value"": ""Zone_55""}, {""connected_to"": ""b40777f6"", ""via"": ""bank_account"", ""value"": ""ES67781085""}, {""connected_to"": ""1b005a35"", ""via"": ""bank_account"", ""value"": ""ES67781085""}, {""connected_to"": ""7efe7072"", ""via"": ""insurer_phone_number"", ""value"": 600768374}]",0.17857142857142855,5,0,1,9,6,0,16,22,20,29,28,14,21,15
ES14234477,2024-07-07,c9504603,Zone_3,33 Avenida Central,insured_199@mail.com,72260eeb,OP7452,Insured_199,600621704,repair_33,collision,,1,10,0.04778945612278946,8,0.5,38,"[{""connected_to"": ""dbfb58bf"", ""via"": ""repair_shop"", ""value"": ""repair_33""}, {""connected_to"": ""ab824ba6"", ""via"": ""repair_shop"", ""value"": ""repair_33""}, {""connected_to"": ""b9d5e6dc"", ""via"": ""insurer_phone_number"", ""value"": 600621704}, {""connected_to"": ""9849c843"", ""via"": ""insurer_address"", ""value"": ""33 Avenida Central""}, {""connected_to"": ""2db8cd46"", ""via"": ""insurer_phone_number"", ""value"": 600621704}, {""connected_to"": ""4cb83c72"", ""via"": ""bank_account"", ""value"": ""ES14234477""}, {""connected_to"": ""7c2166f9"", ""via"": ""insurer_address"", ""value"": ""33 Avenida Central""}]",0.1891891891891892,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES54795355,2024-07-07,deb6383f,Zone_48,27 Avenida Central,insured_173@mail.com,1fa50b89,ON9677,Insured_173,600432795,repair_4,collision,,1,10,0.01586586586586586,8,0.4157303370786517,38,"[{""connected_to"": ""4f111138"", ""via"": ""insurer_address"", ""value"": ""27 Avenida Central""}, {""connected_to"": ""b08e7bfd"", ""via"": ""insurer_phone_number"", ""value"": 600432795}, {""connected_to"": ""ab824ba6"", ""via"": ""bank_account"", ""value"": ""ES54795355""}, {""connected_to"": ""709da1d8"", ""via"": ""bank_account"", ""value"": ""ES54795355""}]",0.10810810810810811,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES73593231,2024-07-07,5257a996,Zone_26,30 Avenida Central,insured_63@mail.com,81824b48,BJ3074,Insured_63,600997261,repair_12,injury,,1,10,0.01699139615806282,8,0.4567901234567901,38,"[{""connected_to"": ""b08e7bfd"", ""via"": ""repair_shop"", ""value"": ""repair_12""}, {""connected_to"": ""dbb83833"", ""via"": ""insurer_phone_number"", ""value"": 600997261}, {""connected_to"": ""b9d5e6dc"", ""via"": ""bank_account"", ""value"": ""ES73593231""}, {""connected_to"": ""7634221b"", ""via"": ""insurer_phone_number"", ""value"": 600997261}, {""connected_to"": ""4cdc9102"", ""via"": ""repair_shop"", ""value"": ""repair_12""}]",0.13513513513513514,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES42953246,2024-07-07,11c352f3,Zone_4,15 Avenida Central,insured_107@mail.com,ee2baf72,NG9611,Insured_107,600481783,repair_7,injury,MK1939,1,10,0.045391820391820395,8,0.5138888888888888,38,"[{""connected_to"": ""b40777f6"", ""via"": ""insurer_address"", ""value"": ""15 Avenida Central""}, {""connected_to"": ""48734acd"", ""via"": ""claim_location"", ""value"": ""Zone_4""}, {""connected_to"": ""d8033cc3"", ""via"": ""bank_account"", ""value"": ""ES42953246""}, {""connected_to"": ""b9d5e6dc"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""4c287ede"", ""via"": ""bank_account"", ""value"": ""ES42953246""}, {""connected_to"": ""7efe7072"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""f28e3ec7"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""4cdc9102"", ""via"": ""bank_account"", ""value"": ""ES42953246""}]",0.21621621621621623,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES12961077,2024-07-07,0146fadf,Zone_20,16 Avenida Central,insured_171@mail.com,a745321e,PE6546,Insured_171,600379103,repair_28,collision,,1,10,0.015053744220410883,8,0.44047619047619047,38,"[{""connected_to"": ""48734acd"", ""via"": ""insurer_address"", ""value"": ""16 Avenida Central""}, {""connected_to"": ""1028b1e7"", ""via"": ""claim_location"", ""value"": ""Zone_20""}, {""connected_to"": ""dbb83833"", ""via"": ""repair_shop"", ""value"": ""repair_28""}, {""connected_to"": ""fc2f929f"", ""via"": ""insurer_phone_number"", ""value"": 600379103}, {""connected_to"": ""5adc9a25"", ""via"": ""insurer_address"", ""value"": ""16 Avenida Central""}]",0.13513513513513514,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES42901579,2024-07-07,71d88f8f,Zone_67,19 Avenida Central,insured_111@mail.com,984a68a6,NE7936,Insured_111,600664650,repair_22,injury,BA4722,1,10,0.015954645121311787,8,0.4457831325301205,38,"[{""connected_to"": ""a2cef4f7"", ""via"": ""bank_account"", ""value"": ""ES42901579""}, {""connected_to"": ""d8033cc3"", ""via"": ""insurer_phone_number"", ""value"": 600664650}, {""connected_to"": ""1b005a35"", ""via"": ""insurer_phone_number"", ""value"": 600664650}, {""connected_to"": ""f28e3ec7"", ""via"": ""insurer_address"", ""value"": ""19 Avenida Central""}, {""connected_to"": ""709da1d8"", ""via"": ""insurer_phone_number"", ""value"": 600664650}]",0.13513513513513514,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES51016557,2024-07-07,7c2166f9,Zone_79,33 Avenida Central,insured_104@mail.com,446d7cfd,MI6914,Insured_104,600826184,repair_5,collision,BB6528,1,10,0.018881381381381377,8,0.42045454545454547,38,"[{""connected_to"": ""4f111138"", ""via"": ""insurer_phone_number"", ""value"": 600826184}, {""connected_to"": ""9849c843"", ""via"": ""insurer_address"", ""value"": ""33 Avenida Central""}, {""connected_to"": ""7efe7072"", ""via"": ""bank_account"", ""value"": ""ES51016557""}, {""connected_to"": ""c9504603"", ""via"": ""insurer_address"", ""value"": ""33 Avenida Central""}]",0.10810810810810811,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES54795355,2024-07-07,709da1d8,Zone_9,11 Avenida Central,insured_103@mail.com,beaeca71,PD7111,Insured_103,600664650,repair_25,injury,,1,10,0.049965441632108296,8,0.46835443037974683,38,"[{""connected_to"": ""d8033cc3"", ""via"": ""insurer_phone_number"", ""value"": 600664650}, {""connected_to"": ""ab824ba6"", ""via"": ""insurer_license_plate"", ""value"": ""PD7111""}, {""connected_to"": ""4cb83c72"", ""via"": ""repair_shop"", ""value"": ""repair_25""}, {""connected_to"": ""7634221b"", ""via"": ""claim_location"", ""value"": ""Zone_9""}, {""connected_to"": ""1b005a35"", ""via"": ""insurer_phone_number"", ""value"": 600664650}, {""connected_to"": ""deb6383f"", ""via"": ""bank_account"", ""value"": ""ES54795355""}, {""connected_to"": ""71d88f8f"", ""via"": ""insurer_phone_number"", ""value"": 600664650}]",0.1891891891891892,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES42953246,2024-07-07,4cdc9102,Zone_72,40 Avenida Central,insured_88@mail.com,067627ba,AD2613,Insured_88,600335293,repair_12,injury,KN3749,1,10,0.061787978454645134,8,0.5362318840579711,38,"[{""connected_to"": ""dbfb58bf"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""b08e7bfd"", ""via"": ""repair_shop"", ""value"": ""repair_12""}, {""connected_to"": ""48734acd"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""d8033cc3"", ""via"": ""bank_account"", ""value"": ""ES42953246""}, {""connected_to"": ""ab824ba6"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""a25a1ebb"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""4c287ede"", ""via"": ""bank_account"", ""value"": ""ES42953246""}, {""connected_to"": ""51ef5249"", ""via"": ""insurer_phone_number"", ""value"": 600335293}, {""connected_to"": ""5257a996"", ""via"": ""repair_shop"", ""value"": ""repair_12""}, {""connected_to"": ""11c352f3"", ""via"": ""bank_account"", ""value"": ""ES42953246""}]",0.2702702702702703,9,0,2,12,10,0,17,28,23,38,36,15,23,19
ES97868719,2024-07-08,2fdaa093,Zone_52,24 Avenida Central,insured_125@mail.com,9a5371dc,IE9430,Insured_125,600809302,repair_7,injury,OD8760,1,10,0.010118765381923278,8,0.4634146341463415,39,"[{""connected_to"": ""b9d5e6dc"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""4cb83c72"", ""via"": ""insurer_phone_number"", ""value"": 600809302}, {""connected_to"": ""5adc9a25"", ""via"": ""insurer_phone_number"", ""value"": 600809302}, {""connected_to"": ""7efe7072"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""f28e3ec7"", ""via"": ""repair_shop"", ""value"": ""repair_7""}, {""connected_to"": ""11c352f3"", ""via"": ""repair_shop"", ""value"": ""repair_7""}]",0.15789473684210525,9,0,2,12,10,0,18,29,24,39,37,15,23,20
ES29088754,2024-07-21,07e13cb7,Zone_76,39 Avenida Central,insured_73@mail.com,d348155b,MG4464,Insured_73,600596153,repair_27,injury,EL1845,1,11,0.011694494589231429,8,0.43333333333333335,40,"[{""connected_to"": ""c06aa294"", ""via"": ""bank_account"", ""value"": ""ES29088754""}, {""connected_to"": ""a4b96898"", ""via"": ""repair_shop"", ""value"": ""repair_27""}, {""connected_to"": ""1028b1e7"", ""via"": ""insurer_phone_number"", ""value"": 600596153}, {""connected_to"": ""d8033cc3"", ""via"": ""insurer_address"", ""value"": ""39 Avenida Central""}, {""connected_to"": ""4c287ede"", ""via"": ""insurer_phone_number"", ""value"": 600596153}]",0.1282051282051282,10,0,2,12,11,0,18,30,24,40,38,15,23,21
