claim_id,claim_date,insurer_license_plate,insurer_phone_number,insurer_email,insurer_address,repair_shop,bank_account,claim_location,third_party_license_plate,is_fraud
20000093,2024-01-01,PLT103545,+34600001812,user2183@ex.com,STREET_812,SHOP_528,ES761000000113,LOC_932,TP_4797,0
20000092,2024-01-01,PLT100392,+34600001434,user42@ex.com,STREET_2879,SHOP_613,ES761000000379,LOC_429,TP_787,0
20000091,2024-01-01,PLT104341,+34600000390,user703@ex.com,STREET_44,SHOP_790,ES761000003666,LOC_716,TP_1752,0
20000090,2024-01-01,PLT102819,+34600000134,user361@ex.com,STREET_1733,SHOP_405,ES761000002661,LOC_967,TP_4364,0
20000089,2024-01-01,PLT101436,+34600001787,user1895@ex.com,STREET_1175,SHOP_639,ES761000001673,LOC_84,TP_1034,0
20000088,2024-01-01,PLT107618,+34600003434,user191@ex.com,STREET_1880,SHOP_160,ES761000001532,LOC_1007,TP_5002,0
20000087,2024-01-01,PLT103477,+34600001824,user833@ex.com,STREET_1302,SHOP_131,ES761000002126,LOC_700,TP_4847,0
20000086,2024-01-01,PLT102071,+34600001352,user2860@ex.com,STREET_1670,SHOP_299,ES761000003658,LOC_280,TP_2395,0
20000085,2024-01-01,PLT106581,+34600001888,user293@ex.com,STREET_577,SHOP_569,ES761000003569,LOC_1058,TP_6545,0
20000084,2024-01-01,PLT107707,+34600003556,user2715@ex.com,STREET_668,SHOP_669,ES761000001275,LOC_423,TP_216,1
20000083,2024-01-01,PLT103269,+34600002732,user2178@ex.com,STREET_2988,SHOP_445,ES761000003566,LOC_778,TP_288,0
20000082,2024-01-01,PLT106345,+34600003225,user4433@ex.com,STREET_2534,SHOP_716,ES761000000044,LOC_441,TP_1961,0
20000081,2024-01-01,PLT102834,+34600001692,user4417@ex.com,STREET_979,SHOP_779,ES761000000543,LOC_990,TP_6796,0
20000080,2024-01-01,PLT100828,+34600003959,user1455@ex.com,STREET_1562,SHOP_669,ES761000003672,LOC_452,TP_1065,0
20000079,2024-01-01,PLT101178,+34600002512,user359@ex.com,STREET_898,SHOP_354,ES761000000102,LOC_1126,TP_7333,0
20000078,2024-01-01,PLT106339,+34600002812,user270@ex.com,STREET_1158,SHOP_130,ES761000002605,LOC_28,TP_5669,0
20000076,2024-01-01,PLT107826,+34600000012,user62@ex.com,STREET_600,SHOP_290,ES761000003639,LOC_1188,TP_5134,0
20000050,2024-01-01,PLT100423,+34600001639,user2966@ex.com,STREET_2749,SHOP_147,ES761000002083,LOC_718,TP_5149,0
20000074,2024-01-01,PLT103879,+34600000876,user50@ex.com,STREET_1497,SHOP_856,ES761000002860,LOC_494,TP_2052,0
20000048,2024-01-01,PLT101144,+34600000619,user597@ex.com,STREET_2634,SHOP_540,ES761000002457,LOC_829,TP_944,0
20000022,2024-01-01,PLT104971,+34600002031,user2427@ex.com,STREET_465,SHOP_155,ES761000001246,LOC_272,TP_3617,1
20000021,2024-01-01,PLT106397,+34600002125,user2699@ex.com,STREET_1309,SHOP_161,ES761000001621,LOC_533,TP_7313,0
20000020,2024-01-01,PLT100281,+34600003392,user3749@ex.com,STREET_1035,SHOP_41,ES761000001527,LOC_757,TP_4789,0
20000019,2024-01-01,PLT104170,+34600001986,user1442@ex.com,STREET_441,SHOP_508,ES761000003374,LOC_812,TP_3100,1
20000018,2024-01-01,PLT105141,+34600000173,user3941@ex.com,STREET_1817,SHOP_484,ES761000000594,LOC_1174,TP_3679,0
20000017,2024-01-01,PLT106372,+34600002879,user3907@ex.com,STREET_1832,SHOP_723,ES761000000191,LOC_1007,TP_1725,1
20000016,2024-01-01,PLT100652,+34600001713,user2639@ex.com,STREET_1162,SHOP_388,ES761000003245,LOC_740,TP_5284,1
20000015,2024-01-01,PLT107965,+34600001693,user3918@ex.com,STREET_1276,SHOP_977,ES761000000900,LOC_1188,TP_4211,0
20000014,2024-01-01,PLT103759,+34600003572,user3012@ex.com,STREET_2205,SHOP_586,ES761000001840,LOC_1163,TP_2765,0
20000012,2024-01-01,PLT102312,+34600002934,user3604@ex.com,STREET_598,SHOP_913,ES761000001433,LOC_1121,TP_2264,0
20000023,2024-01-01,PLT106559,+34600001952,user1128@ex.com,STREET_1315,SHOP_899,ES761000001408,LOC_115,TP_600,0
20000011,2024-01-01,PLT103826,+34600000379,user3060@ex.com,STREET_2065,SHOP_163,ES761000002600,LOC_476,TP_6186,0
20000009,2024-01-01,PLT103620,+34600000022,user583@ex.com,STREET_309,SHOP_258,ES761000001149,LOC_399,TP_5129,0
20000008,2024-01-01,PLT101620,+34600000001,user662@ex.com,STREET_2060,SHOP_856,ES761000000706,LOC_410,TP_7901,0
20000007,2024-01-01,PLT104467,+34600001034,user2057@ex.com,STREET_221,SHOP_396,ES761000003050,LOC_567,TP_3093,0
20000006,2024-01-01,PLT100019,+34600003869,user646@ex.com,STREET_129,SHOP_437,ES761000001470,LOC_1124,TP_4802,0
20000005,2024-01-01,PLT104147,+34600002553,user2764@ex.com,STREET_2238,SHOP_544,ES761000000791,LOC_656,TP_6757,1
20000004,2024-01-01,PLT103262,+34600002916,user254@ex.com,STREET_1848,SHOP_364,ES761000000530,LOC_728,TP_1409,0
20000003,2024-01-01,PLT106185,+34600002281,user478@ex.com,STREET_2061,SHOP_42,ES761000003201,LOC_624,TP_3932,0
20000002,2024-01-01,PLT106372,+34600003244,user3269@ex.com,STREET_1073,SHOP_185,ES761000003555,LOC_82,TP_858,0
20000001,2024-01-01,PLT100555,+34600000897,user682@ex.com,STREET_1000,SHOP_485,ES761000003674,LOC_90,TP_402,0
20000049,2024-01-01,PLT102257,+34600003127,user112@ex.com,STREET_851,SHOP_677,ES761000000457,LOC_278,TP_3159,0
20000010,2024-01-01,PLT106546,+34600001294,user3268@ex.com,STREET_571,SHOP_280,ES761000003472,LOC_219,TP_1296,0
20000024,2024-01-01,PLT103281,+34600003356,user111@ex.com,STREET_531,SHOP_676,ES761000001705,LOC_44,TP_1339,0
20000013,2024-01-01,PLT101597,+34600001793,user1512@ex.com,STREET_2794,SHOP_103,ES761000000609,LOC_827,TP_46,0
20000025,2024-01-01,PLT106333,+34600003754,user1771@ex.com,STREET_1848,SHOP_95,ES761000000954,LOC_454,TP_1397,0
20000046,2024-01-01,PLT101012,+34600000635,user411@ex.com,STREET_1573,SHOP_807,ES761000000607,LOC_233,TP_942,0
20000045,2024-01-01,PLT100428,+34600000529,user3794@ex.com,STREET_1380,SHOP_338,ES761000003172,LOC_556,TP_1244,0
20000044,2024-01-01,PLT102542,+34600003516,user4599@ex.com,STREET_2928,SHOP_182,ES761000001573,LOC_241,TP_3351,0
20000043,2024-01-01,PLT102886,+34600001153,user3528@ex.com,STREET_412,SHOP_870,ES761000003487,LOC_438,TP_5268,0
20000042,2024-01-01,PLT102811,+34600003531,user1609@ex.com,STREET_2111,SHOP_706,ES761000003373,LOC_341,TP_5140,0
20000041,2024-01-01,PLT107215,+34600000512,user1795@ex.com,STREET_1875,SHOP_523,ES761000001730,LOC_281,TP_1645,0
20000040,2024-01-01,PLT100821,+34600001290,user2539@ex.com,STREET_2505,SHOP_503,ES761000001888,LOC_679,TP_2785,0
20000039,2024-01-01,PLT104977,+34600002755,user4596@ex.com,STREET_307,SHOP_496,ES761000003052,LOC_470,TP_3465,0
20000038,2024-01-01,PLT103492,+34600003529,user1420@ex.com,STREET_2631,SHOP_895,ES761000002551,LOC_1160,TP_7637,0
20000037,2024-01-01,PLT105859,+34600002981,user2807@ex.com,STREET_1010,SHOP_470,ES761000001840,LOC_181,TP_4670,0
20000036,2024-01-01,PLT102198,+34600002310,user1249@ex.com,STREET_1351,SHOP_837,ES761000001747,LOC_96,TP_7660,0
20000047,2024-01-01,PLT107819,+34600002593,user90@ex.com,STREET_1185,SHOP_216,ES761000003034,LOC_631,TP_3472,0
20000034,2024-01-01,PLT100361,+34600003813,user3459@ex.com,STREET_30,SHOP_836,ES761000002023,LOC_79,TP_4251,0
20000033,2024-01-01,PLT107247,+34600002888,user2235@ex.com,STREET_2545,SHOP_168,ES761000000272,LOC_419,TP_283,1
20000032,2024-01-01,PLT105550,+34600002578,user4825@ex.com,STREET_2450,SHOP_798,ES761000000817,LOC_1123,TP_3996,1
20000031,2024-01-01,PLT107748,+34600002879,user4282@ex.com,STREET_2723,SHOP_886,ES761000003792,LOC_1189,TP_5144,0
20000030,2024-01-01,PLT104073,+34600001549,user974@ex.com,STREET_1682,SHOP_287,ES761000003121,LOC_605,TP_1686,1
20000029,2024-01-01,PLT104007,+34600002907,user3282@ex.com,STREET_574,SHOP_45,ES761000002999,LOC_506,TP_474,0
20000028,2024-01-01,PLT103545,+34600003204,user4072@ex.com,STREET_1383,SHOP_80,ES761000000272,LOC_265,TP_4931,0
20000027,2024-01-01,PLT107418,+34600003544,user271@ex.com,STREET_1351,SHOP_259,ES761000002817,LOC_864,TP_3626,0
20000026,2024-01-01,PLT106665,+34600001411,user2901@ex.com,STREET_2759,SHOP_437,ES761000003947,LOC_781,TP_6605,0
20000035,2024-01-01,PLT101066,+34600002393,user3683@ex.com,STREET_2595,SHOP_488,ES761000001112,LOC_131,TP_4869,0
20000175,2024-01-02,PLT105577,+34600000620,user2877@ex.com,STREET_350,SHOP_47,ES761000001955,LOC_1069,TP_3074,0
20000166,2024-01-02,PLT101266,+34600003660,user4697@ex.com,STREET_350,SHOP_925,ES761000001321,LOC_689,TP_6924,0
20000167,2024-01-02,PLT106587,+34600003316,user3230@ex.com,STREET_1882,SHOP_285,ES761000003935,LOC_769,TP_5496,0
20000169,2024-01-02,PLT103417,+34600003146,user1972@ex.com,STREET_692,SHOP_80,ES761000001547,LOC_670,TP_2240,0
20000174,2024-01-02,PLT101597,+34600001237,user1699@ex.com,STREET_2205,SHOP_64,ES761000001906,LOC_675,TP_2114,0
20000171,2024-01-02,PLT102616,+34600001564,user4087@ex.com,STREET_2192,SHOP_47,ES761000002171,LOC_419,TP_1333,0
20000172,2024-01-02,PLT106478,+34600001698,user4428@ex.com,STREET_1296,SHOP_295,ES761000001444,LOC_343,TP_5263,0
20000173,2024-01-02,PLT101261,+34600002569,user3338@ex.com,STREET_2705,SHOP_893,ES761000000513,LOC_656,TP_3974,0
20000165,2024-01-02,PLT102071,+34600002624,user800@ex.com,STREET_2155,SHOP_409,ES761000000200,LOC_103,TP_5789,0
20000170,2024-01-02,PLT103799,+34600001229,user127@ex.com,STREET_2912,SHOP_633,ES761000000093,LOC_550,TP_5338,0
20000164,2024-01-02,PLT102760,+34600003448,user105@ex.com,STREET_2697,SHOP_373,ES761000000957,LOC_1014,TP_5678,0
20000158,2024-01-02,PLT104072,+34600001256,user4943@ex.com,STREET_2879,SHOP_37,ES761000001211,LOC_114,TP_1776,0
20000162,2024-01-02,PLT104886,+34600001782,user4485@ex.com,STREET_2135,SHOP_60,ES761000001409,LOC_61,TP_6041,0
20000161,2024-01-02,PLT105714,+34600003144,user2558@ex.com,STREET_1541,SHOP_203,ES761000001170,LOC_1024,TP_2852,0
20000160,2024-01-02,PLT105358,+34600001147,user4100@ex.com,STREET_89,SHOP_584,ES761000001861,LOC_841,TP_7897,0
20000159,2024-01-02,PLT107638,+34600002418,user1822@ex.com,STREET_1586,SHOP_391,ES761000002503,LOC_987,TP_3856,0
20000157,2024-01-02,PLT102035,+34600000770,user790@ex.com,STREET_1571,SHOP_293,ES761000003173,LOC_162,TP_4090,0
20000156,2024-01-02,PLT105714,+34600002633,user4076@ex.com,STREET_2606,SHOP_777,ES761000000273,LOC_1092,TP_5527,1
20000155,2024-01-02,PLT105714,+34600002421,user236@ex.com,STREET_121,SHOP_979,ES761000003587,LOC_208,TP_2838,1
20000154,2024-01-02,PLT106266,+34600003539,user3462@ex.com,STREET_271,SHOP_139,ES761000001497,LOC_417,TP_2751,0
20000153,2024-01-02,PLT106754,+34600002098,user2769@ex.com,STREET_197,SHOP_669,ES761000001970,LOC_467,TP_6367,0
20000152,2024-01-02,PLT106014,+34600002760,user189@ex.com,STREET_1208,SHOP_445,ES761000003981,LOC_312,TP_5128,1
20000163,2024-01-02,PLT101972,+34600000086,user272@ex.com,STREET_2908,SHOP_553,ES761000001281,LOC_392,TP_5031,0
20000176,2024-01-02,PLT102166,+34600001097,user3614@ex.com,STREET_2310,SHOP_149,ES761000002853,LOC_1076,TP_2877,0
20000200,2024-01-02,PLT104511,+34600003851,user4113@ex.com,STREET_321,SHOP_351,ES761000000517,LOC_241,TP_2144,0
20000178,2024-01-02,PLT107826,+34600003292,user729@ex.com,STREET_188,SHOP_542,ES761000000316,LOC_1150,TP_7657,0
20000151,2024-01-02,PLT107216,+34600000023,user4865@ex.com,STREET_2941,SHOP_373,ES761000003689,LOC_704,TP_2600,1
20000199,2024-01-02,PLT106937,+34600003079,user3498@ex.com,STREET_332,SHOP_776,ES761000003062,LOC_104,TP_1729,0
20000198,2024-01-02,PLT107051,+34600000237,user2310@ex.com,STREET_2806,SHOP_27,ES761000000667,LOC_350,TP_1514,0
20000197,2024-01-02,PLT102071,+34600000237,user3895@ex.com,STREET_1537,SHOP_552,ES761000000190,LOC_1044,TP_3733,1
20000196,2024-01-02,PLT105399,+34600002941,user4241@ex.com,STREET_2247,SHOP_537,ES761000002486,LOC_37,TP_4669,0
20000195,2024-01-02,PLT101436,+34600002644,user2507@ex.com,STREET_1709,SHOP_506,ES761000002929,LOC_686,TP_1505,1
20000194,2024-01-02,PLT101285,+34600003999,user448@ex.com,STREET_324,SHOP_941,ES761000000065,LOC_1078,TP_5372,0
20000193,2024-01-02,PLT107331,+34600001161,user1982@ex.com,STREET_792,SHOP_768,ES761000003377,LOC_23,TP_3750,0
20000192,2024-01-02,PLT103256,+34600001909,user1830@ex.com,STREET_2725,SHOP_523,ES761000002114,LOC_603,TP_2103,0
20000191,2024-01-02,PLT107213,+34600002387,user4069@ex.com,STREET_1090,SHOP_776,ES761000001413,LOC_978,TP_3686,0
20000177,2024-01-02,PLT106586,+34600000669,user2196@ex.com,STREET_2741,SHOP_96,ES761000003633,LOC_1110,TP_3975,0
20000190,2024-01-02,PLT107899,+34600002280,user2868@ex.com,STREET_2858,SHOP_479,ES761000001410,LOC_4,TP_5456,0
20000188,2024-01-02,PLT102166,+34600002569,user1702@ex.com,STREET_1467,SHOP_663,ES761000002146,LOC_287,TP_5105,0
20000187,2024-01-02,PLT105870,+34600003673,user4094@ex.com,STREET_2561,SHOP_233,ES761000002855,LOC_880,TP_1232,0
20000186,2024-01-02,PLT100433,+34600002863,user48@ex.com,STREET_1277,SHOP_659,ES761000001736,LOC_1195,TP_716,0
20000185,2024-01-02,PLT102262,+34600000732,user2701@ex.com,STREET_484,SHOP_748,ES761000001238,LOC_719,TP_7995,0
20000184,2024-01-02,PLT105224,+34600003517,user763@ex.com,STREET_316,SHOP_212,ES761000002117,LOC_237,TP_1022,0
20000183,2024-01-02,PLT105816,+34600003053,user475@ex.com,STREET_481,SHOP_220,ES761000002379,LOC_748,TP_5265,0
20000182,2024-01-02,PLT105148,+34600002054,user68@ex.com,STREET_61,SHOP_341,ES761000003837,LOC_897,TP_4604,0
20000181,2024-01-02,PLT107180,+34600003602,user3018@ex.com,STREET_2999,SHOP_846,ES761000000792,LOC_923,TP_7483,0
20000180,2024-01-02,PLT105795,+34600000134,user1304@ex.com,STREET_600,SHOP_139,ES761000000056,LOC_159,TP_1728,0
20000179,2024-01-02,PLT103100,+34600001408,user1029@ex.com,STREET_188,SHOP_366,ES761000002106,LOC_142,TP_1851,0
20000189,2024-01-02,PLT101069,+34600003830,user3655@ex.com,STREET_1874,SHOP_620,ES761000003228,LOC_1020,TP_908,0
20000150,2024-01-02,PLT102545,+34600000775,user890@ex.com,STREET_1511,SHOP_717,ES761000001041,LOC_654,TP_1309,0
20000168,2024-01-02,PLT104202,+34600002572,user570@ex.com,STREET_2637,SHOP_898,ES761000003708,LOC_572,TP_2726,0
20000148,2024-01-02,PLT104467,+34600002307,user713@ex.com,STREET_2232,SHOP_998,ES761000001509,LOC_1026,TP_6910,0
20000121,2024-01-02,PLT103581,+34600001895,user2750@ex.com,STREET_421,SHOP_716,ES761000001458,LOC_291,TP_7272,0
20000120,2024-01-02,PLT106191,+34600002862,user4917@ex.com,STREET_1786,SHOP_716,ES761000002840,LOC_1160,TP_3041,0
20000119,2024-01-02,PLT100828,+34600002834,user1455@ex.com,STREET_1789,SHOP_287,ES761000003843,LOC_459,TP_6184,0
20000118,2024-01-02,PLT104123,+34600002787,user3533@ex.com,STREET_58,SHOP_591,ES761000003622,LOC_1058,TP_4507,0
20000117,2024-01-02,PLT104069,+34600001033,user540@ex.com,STREET_926,SHOP_176,ES761000000196,LOC_1169,TP_5606,0
20000116,2024-01-02,PLT100192,+34600001110,user823@ex.com,STREET_2373,SHOP_662,ES761000002346,LOC_504,TP_3709,0
20000115,2024-01-02,PLT107872,+34600002404,user3699@ex.com,STREET_214,SHOP_745,ES761000002998,LOC_974,TP_7085,0
20000114,2024-01-02,PLT104216,+34600001897,user1335@ex.com,STREET_2236,SHOP_336,ES761000003328,LOC_970,TP_6464,0
20000113,2024-01-02,PLT106710,+34600003709,user2604@ex.com,STREET_2842,SHOP_133,ES761000001639,LOC_432,TP_6238,0
20000112,2024-01-02,PLT103287,+34600002512,user1608@ex.com,STREET_2926,SHOP_624,ES761000000255,LOC_909,TP_1680,0
20000111,2024-01-02,PLT100869,+34600001584,user3639@ex.com,STREET_2811,SHOP_661,ES761000002921,LOC_1148,TP_7094,0
20000110,2024-01-02,PLT103842,+34600000898,user4492@ex.com,STREET_984,SHOP_366,ES761000002896,LOC_813,TP_7766,0
20000109,2024-01-02,PLT104249,+34600000170,user2817@ex.com,STREET_1575,SHOP_520,ES761000002723,LOC_454,TP_4538,0
20000108,2024-01-02,PLT102624,+34600000862,user1852@ex.com,STREET_255,SHOP_121,ES761000000349,LOC_389,TP_3707,0
20000107,2024-01-02,PLT100423,+34600002839,user124@ex.com,STREET_1010,SHOP_387,ES761000003182,LOC_280,TP_1437,0
20000106,2024-01-02,PLT102675,+34600000321,user2087@ex.com,STREET_1743,SHOP_617,ES761000000807,LOC_467,TP_7628,0
20000105,2024-01-02,PLT101298,+34600003935,user3631@ex.com,STREET_2106,SHOP_650,ES761000002038,LOC_1188,TP_762,0
20000104,2024-01-02,PLT101146,+34600001970,user3961@ex.com,STREET_2921,SHOP_742,ES761000001080,LOC_480,TP_7322,0
20000103,2024-01-02,PLT104257,+34600000129,user2791@ex.com,STREET_2206,SHOP_489,ES761000000059,LOC_775,TP_6889,0
20000149,2024-01-02,PLT104932,+34600002340,user2853@ex.com,STREET_1277,SHOP_171,ES761000003192,LOC_25,TP_7453,0
20000101,2024-01-02,PLT106082,+34600001693,user839@ex.com,STREET_1898,SHOP_946,ES761000001143,LOC_94,TP_2704,0
20000100,2024-01-02,PLT102600,+34600002654,user1897@ex.com,STREET_63,SHOP_419,ES761000003539,LOC_329,TP_6182,1
20000099,2024-01-02,PLT106587,+34600002320,user2539@ex.com,STREET_2318,SHOP_716,ES761000003906,LOC_228,TP_917,0
20000122,2024-01-02,PLT105569,+34600002298,user4658@ex.com,STREET_1694,SHOP_183,ES761000000910,LOC_645,TP_6816,0
20000123,2024-01-02,PLT102018,+34600003087,user1243@ex.com,STREET_2532,SHOP_582,ES761000003804,LOC_353,TP_4489,0
20000102,2024-01-02,PLT106563,+34600000757,user617@ex.com,STREET_370,SHOP_506,ES761000000100,LOC_1162,TP_2941,0
20000125,2024-01-02,PLT102124,+34600001245,user4008@ex.com,STREET_163,SHOP_765,ES761000000315,LOC_6,TP_4562,0
20000124,2024-01-02,PLT100022,+34600000775,user3525@ex.com,STREET_1878,SHOP_816,ES761000003875,LOC_51,TP_7724,0
20000147,2024-01-02,PLT100759,+34600001336,user1760@ex.com,STREET_2184,SHOP_721,ES761000001227,LOC_721,TP_1678,0
20000145,2024-01-02,PLT106185,+34600002661,user2111@ex.com,STREET_76,SHOP_455,ES761000001237,LOC_554,TP_5414,0
20000144,2024-01-02,PLT107716,+34600003482,user4384@ex.com,STREET_951,SHOP_950,ES761000003205,LOC_550,TP_6751,1
20000143,2024-01-02,PLT107581,+34600001518,user1149@ex.com,STREET_880,SHOP_889,ES761000002607,LOC_916,TP_3193,0
20000142,2024-01-02,PLT105131,+34600000580,user2817@ex.com,STREET_1753,SHOP_353,ES761000002813,LOC_814,TP_501,1
20000141,2024-01-02,PLT102341,+34600001015,user3987@ex.com,STREET_811,SHOP_355,ES761000001435,LOC_53,TP_7632,0
20000140,2024-01-02,PLT104007,+34600002704,user2394@ex.com,STREET_854,SHOP_768,ES761000001341,LOC_94,TP_1879,0
20000139,2024-01-02,PLT106301,+34600002978,user4894@ex.com,STREET_984,SHOP_759,ES761000001548,LOC_575,TP_5703,0
20000138,2024-01-02,PLT102028,+34600003830,user4194@ex.com,STREET_1180,SHOP_125,ES761000003179,LOC_1057,TP_1665,0
20000137,2024-01-02,PLT101083,+34600001198,user3983@ex.com,STREET_1183,SHOP_223,ES761000001847,LOC_977,TP_1821,0
20000146,2024-01-02,PLT103477,+34600002848,user1683@ex.com,STREET_2138,SHOP_241,ES761000000995,LOC_918,TP_3205,0
20000135,2024-01-02,PLT103269,+34600000552,user2206@ex.com,STREET_511,SHOP_847,ES761000003469,LOC_14,TP_557,0
20000136,2024-01-02,PLT102186,+34600003241,user2610@ex.com,STREET_2842,SHOP_391,ES761000001402,LOC_512,TP_120,0
20000127,2024-01-02,PLT100714,+34600002964,user4507@ex.com,STREET_1546,SHOP_856,ES761000002394,LOC_227,TP_4228,0
20000128,2024-01-02,PLT104123,+34600003247,user2865@ex.com,STREET_1584,SHOP_460,ES761000002151,LOC_88,TP_7345,0
20000129,2024-01-02,PLT107812,+34600000966,user2543@ex.com,STREET_1144,SHOP_717,ES761000002104,LOC_32,TP_4187,1
20000130,2024-01-02,PLT101895,+34600003921,user2413@ex.com,STREET_1784,SHOP_981,ES761000000401,LOC_255,TP_4177,0
20000126,2024-01-02,PLT107707,+34600003637,user3984@ex.com,STREET_458,SHOP_272,ES761000003353,LOC_1040,TP_5879,0
20000131,2024-01-02,PLT106484,+34600002444,user4@ex.com,STREET_1807,SHOP_263,ES761000000915,LOC_320,TP_1679,0
20000132,2024-01-02,PLT107752,+34600002502,user1307@ex.com,STREET_2661,SHOP_172,ES761000000884,LOC_1111,TP_906,0
20000133,2024-01-02,PLT105281,+34600000919,user4909@ex.com,STREET_2887,SHOP_91,ES761000000616,LOC_458,TP_2619,0
20000134,2024-01-02,PLT101069,+34600003920,user1845@ex.com,STREET_2961,SHOP_312,ES761000001717,LOC_47,TP_1000,0
20000256,2024-01-03,PLT104141,+34600003625,user3069@ex.com,STREET_850,SHOP_308,ES761000003546,LOC_40,TP_468,0
20000262,2024-01-03,PLT104273,+34600003463,user1695@ex.com,STREET_1028,SHOP_99,ES761000000541,LOC_592,TP_3833,0
20000261,2024-01-03,PLT107782,+34600003786,user4230@ex.com,STREET_1998,SHOP_210,ES761000001908,LOC_1028,TP_1483,0
20000260,2024-01-03,PLT102286,+34600003619,user735@ex.com,STREET_2688,SHOP_953,ES761000001811,LOC_1112,TP_3192,0
20000259,2024-01-03,PLT107247,+34600000592,user70@ex.com,STREET_743,SHOP_651,ES761000003119,LOC_818,TP_7196,0
20000258,2024-01-03,PLT102075,+34600000634,user3388@ex.com,STREET_1530,SHOP_714,ES761000002308,LOC_1018,TP_6510,0
20000257,2024-01-03,PLT104515,+34600001424,user1599@ex.com,STREET_2823,SHOP_685,ES761000002827,LOC_170,TP_2290,0
