bank_account,claim_date,claim_id,claim_location,insurer_address,insurer_email,insurer_id,insurer_license_plate,insurer_name,insurer_phone_number,repair_shop,type_of_claim,third_party_license_plate,fraud
ES82859036,2024-07-06,5adc9a25,Zone_50,16 Avenida Central,insured_137@mail.com,36485da9,BH5441,Insured_137,600809302,repair_32,injury,,1
ES38273233,2024-07-06,51ef5249,Zone_45,5 Avenida Central,insured_197@mail.com,9d479405,PA7291,Insured_197,600335293,repair_23,collision,CF3049,1
ES54532647,2024-07-06,7634221b,Zone_9,31 Avenida Central,insured_150@mail.com,4503da1b,OD8760,Insured_150,600997261,repair_23,injury,,1
ES67781085,2024-07-06,1b005a35,Zone_8,34 Avenida Central,insured_34@mail.com,34cd82c2,BB6528,Insured_34,600664650,repair_0,collision,JK4959,1
ES51016557,2024-07-06,7efe7072,Zone_63,8 Avenida Central,insured_12@mail.com,c13629c6,KA2644,Insured_12,600768374,repair_7,collision,CE9713,1
ES82859036,2024-07-06,f28e3ec7,Zone_63,19 Avenida Central,insured_6@mail.com,0c507ded,MK1939,Insured_6,600446081,repair_7,injury,IB6158,1
ES67781085,2024-07-06,5d452b93,Zone_55,17 Avenida Central,insured_32@mail.com,aecb804a,KF7403,Insured_32,600768374,repair_14,injury,,1
ES14234477,2024-07-07,c9504603,Zone_3,33 Avenida Central,insured_199@mail.com,72260eeb,OP7452,Insured_199,600621704,repair_33,collision,,1
ES54795355,2024-07-07,deb6383f,Zone_48,27 Avenida Central,insured_173@mail.com,1fa50b89,ON9677,Insured_173,600432795,repair_4,collision,,1
ES73593231,2024-07-07,5257a996,Zone_26,30 Avenida Central,insured_63@mail.com,81824b48,BJ3074,Insured_63,600997261,repair_12,injury,,1
ES42953246,2024-07-07,11c352f3,Zone_4,15 Avenida Central,insured_107@mail.com,ee2baf72,NG9611,Insured_107,600481783,repair_7,injury,MK1939,1
ES12961077,2024-07-07,0146fadf,Zone_20,16 Avenida Central,insured_171@mail.com,a745321e,PE6546,Insured_171,600379103,repair_28,collision,,1
ES42901579,2024-07-07,71d88f8f,Zone_67,19 Avenida Central,insured_111@mail.com,984a68a6,NE7936,Insured_111,600664650,repair_22,injury,BA4722,1
ES51016557,2024-07-07,7c2166f9,Zone_79,33 Avenida Central,insured_104@mail.com,446d7cfd,MI6914,Insured_104,600826184,repair_5,collision,BB6528,1
ES54795355,2024-07-07,709da1d8,Zone_9,11 Avenida Central,insured_103@mail.com,beaeca71,PD7111,Insured_103,600664650,repair_25,injury,,1
ES42953246,2024-07-07,4cdc9102,Zone_72,40 Avenida Central,insured_88@mail.com,067627ba,AD2613,Insured_88,600335293,repair_12,injury,KN3749,1
ES97868719,2024-07-08,2fdaa093,Zone_52,24 Avenida Central,insured_125@mail.com,9a5371dc,IE9430,Insured_125,600809302,repair_7,injury,OD8760,1
ES29088754,2024-07-21,07e13cb7,Zone_76,39 Avenida Central,insured_73@mail.com,d348155b,MG4464,Insured_73,600596153,repair_27,injury,EL1845,1
ES73593231,2024-07-22,21c54feb,Zone_34,26 Avenida Central,insured_152@mail.com,2ac0c844,PA7291,Insured_152,600335293,repair_12,injury,JD4259,1
ES54532647,2024-07-22,63429b74,Zone_40,25 Avenida Central,insured_39@mail.com,f5f74412,KE8952,Insured_39,600768374,repair_34,injury,DJ5026,1
ES71007570,2024-07-22,1704ee21,Zone_70,22 Avenida Central,insured_150@mail.com,4503da1b,BI8536,Insured_150,600621704,repair_9,injury,,0
ES31320114,2024-07-22,cd2da2b4,Zone_5,13 Avenida Central,insured_134@mail.com,3841f4bd,NA1705,Insured_134,600446081,repair_0,injury,,1
ES38273233,2024-07-22,f4a75ecd,Zone_47,35 Avenida Central,insured_49@mail.com,52400fe1,AB3511,Insured_49,600596153,repair_8,collision,MP1391,1
ES42901579,2024-07-22,efc3d4b7,Zone_0,40 Avenida Central,insured_54@mail.com,29cbe77c,FB6190,Insured_54,600664650,repair_17,injury,FM2440,1
ES87084490,2024-07-22,c6eb903b,Zone_18,26 Avenida Central,insured_188@mail.com,ef9c5998,CB9128,Insured_188,600432795,repair_2,collision,,1
ES14234477,2024-07-24,a022bc0f,Zone_14,19 Avenida Central,insured_129@mail.com,6bc0e06d,GG3930,Insured_129,600379103,repair_35,injury,,1
ES42901579,2024-07-25,fb3640e4,Zone_52,33 Avenida Central,insured_66@mail.com,b8da2501,HP3064,Insured_66,600664650,repair_6,collision,AK8026,1
ES29088754,2024-07-25,1b344808,Zone_15,20 Avenida Central,insured_110@mail.com,6844938f,JB5324,Insured_110,600481783,repair_34,injury,,1
ES67781085,2024-07-25,f949707f,Zone_66,29 Avenida Central,insured_187@mail.com,30dd5dfb,MH3801,Insured_187,600997261,repair_12,collision,,1
ES67429369,2024-07-25,42bf7d42,Zone_77,33 Avenida Central,insured_114@mail.com,c2e68d2e,ID5184,Insured_114,600596153,repair_6,injury,FI3620,1
ES38273233,2024-07-25,e039d1f7,Zone_79,40 Avenida Central,insured_9@mail.com,03fb96c2,PP9950,Insured_9,600809302,repair_24,injury,AG4643,1
ES94588658,2024-07-25,f76a94f8,Zone_23,37 Avenida Central,insured_167@mail.com,6ac0aa7d,GF1259,Insured_167,600446081,repair_17,collision,HO5662,1
ES71007570,2024-07-25,608a6c32,Zone_66,30 Avenida Central,insured_40@mail.com,bc33946a,IL5920,Insured_40,600664650,repair_28,injury,IF9938,1
ES29088754,2024-07-25,35c1dbd1,Zone_69,6 Avenida Central,insured_36@mail.com,63354012,EE7852,Insured_36,600621704,repair_30,injury,HE1438,1
ES54795355,2024-07-25,d387f17a,Zone_18,24 Avenida Central,insured_28@mail.com,93d52728,BP2925,Insured_28,600904155,repair_18,collision,CH9463,1
ES94588658,2024-07-25,ea9d7eb4,Zone_22,17 Avenida Central,insured_93@mail.com,ef08dd0f,EE7852,Insured_93,600664650,repair_16,collision,EI7604,1
ES54795355,2024-07-25,bf3e5d6f,Zone_37,22 Avenida Central,insured_157@mail.com,c1a7b5ac,KE8952,Insured_157,600768374,repair_11,collision,LM1492,1
ES54795355,2024-07-26,5b0e5acd,Zone_78,11 Avenida Central,insured_28@mail.com,93d52728,HM9735,Insured_28,600826184,repair_29,collision,,1
ES51016557,2024-07-26,baa5ea2a,Zone_70,18 Avenida Central,insured_161@mail.com,62e18a4f,FL2839,Insured_161,600826184,repair_20,collision,FB6190,0
ES38273233,2024-07-26,b205b267,Zone_23,30 Avenida Central,insured_55@mail.com,11867662,KF7403,Insured_55,600809302,repair_11,collision,GH9194,0
ES29088754,2024-07-26,e73b8797,Zone_10,40 Avenida Central,insured_31@mail.com,049f4676,EA5293,Insured_31,600904155,repair_14,collision,CF3049,1
ES31320114,2024-07-26,e4b967fc,Zone_5,25 Avenida Central,insured_117@mail.com,c8508d5f,MI6914,Insured_117,600432795,repair_3,collision,NB7185,1
ES67781085,2024-07-26,3de72026,Zone_15,1 Avenida Central,insured_123@mail.com,fa456353,BE2733,Insured_123,600335293,repair_24,injury,DH5196,1
ES82859036,2024-07-26,91c88928,Zone_5,24 Avenida Central,insured_18@mail.com,8314557,EF7402,Insured_18,600809302,repair_34,injury,,0
ES67781085,2024-07-26,6c2948c2,Zone_7,31 Avenida Central,insured_19@mail.com,063ac713,EO8267,Insured_19,600379103,repair_17,collision,HA6699,1
ES29088754,2024-07-27,0ab73345,Zone_52,35 Avenida Central,insured_3@mail.com,06a7308f,PF6093,Insured_3,600189326,repair_11,injury,,1
ES71007570,2024-07-27,c93a329f,Zone_78,6 Avenida Central,insured_195@mail.com,3c8029fc,AP1093,Insured_195,600997261,repair_18,collision,,1
ES42901579,2024-07-27,91ebb156,Zone_11,2 Avenida Central,insured_4@mail.com,665c6ca0,JO1026,Insured_4,600481783,repair_39,injury,OD8760,1
ES95330972,2024-07-27,d2ed0339,Zone_46,40 Avenida Central,insured_80@mail.com,f9f0cd8f,EB9656,Insured_80,600189326,repair_34,injury,JG5050,0
ES97868719,2024-07-27,6db026f9,Zone_19,39 Avenida Central,insured_37@mail.com,13db4f2c,CG9182,Insured_37,600481783,repair_31,collision,,0
ES82859036,2024-07-27,2a6e407a,Zone_66,30 Avenida Central,insured_45@mail.com,1d95ac65,LM1492,Insured_45,600596153,repair_34,collision,,0
ES42953246,2024-07-28,a86c8802,Zone_65,28 Avenida Central,insured_160@mail.com,1b221d9e,IL5920,Insured_160,600621704,repair_19,injury,MN6901,1
ES73593231,2024-07-28,bb742b13,Zone_67,31 Avenida Central,insured_71@mail.com,c75171a5,AL2457,Insured_71,600997261,repair_29,injury,KK9103,0
ES54795355,2024-07-28,c04a4443,Zone_43,28 Avenida Central,insured_42@mail.com,439c00eb,OH7336,Insured_42,600432795,repair_5,collision,,1
ES64784211,2024-07-28,3a3d6e6e,Zone_15,15 Avenida Central,insured_136@mail.com,b47c4189,IB6158,Insured_136,600596153,repair_22,injury,,1
ES54795355,2024-07-28,ef4d9ae4,Zone_71,5 Avenida Central,insured_124@mail.com,93c8dbe4,IG3009,Insured_124,600664650,repair_9,collision,KC8145,1
ES12961077,2024-07-28,4fd0f508,Zone_70,33 Avenida Central,insured_59@mail.com,f5d52594,EL1845,Insured_59,600997261,repair_32,injury,,1
ES73593231,2024-07-28,ca8b2ffe,Zone_45,25 Avenida Central,insured_130@mail.com,4deeab1b,LC4785,Insured_130,600354258,repair_19,injury,,1
ES82859036,2024-07-29,24e31115,Zone_23,2 Avenida Central,insured_168@mail.com,839647ca,KI9599,Insured_168,600354258,repair_8,collision,,1
ES29088754,2024-07-29,a0e2a79f,Zone_31,15 Avenida Central,insured_136@mail.com,b47c4189,DG3242,Insured_136,600664650,repair_36,injury,KC8145,0
ES42953246,2024-07-29,ed782d93,Zone_70,21 Avenida Central,insured_192@mail.com,f9491a7c,PD7111,Insured_192,600596153,repair_17,collision,,0
ES64784211,2024-07-29,0e3d08eb,Zone_58,34 Avenida Central,insured_44@mail.com,4c784c66,GK6045,Insured_44,600768374,repair_15,injury,EI7604,1
ES38273233,2024-07-29,8379280e,Zone_67,1 Avenida Central,insured_37@mail.com,13db4f2c,MB2757,Insured_37,600354258,repair_24,collision,,1
ES97868719,2024-07-29,e854cd62,Zone_43,22 Avenida Central,insured_16@mail.com,e24bd48b,CC7994,Insured_16,600596153,repair_18,collision,,1
ES64784211,2024-07-29,593855ae,Zone_24,11 Avenida Central,insured_72@mail.com,6149291c,PI8769,Insured_72,600997261,repair_11,injury,,1
ES12961077,2024-07-30,1238c8f5,Zone_34,37 Avenida Central,insured_194@mail.com,3bf0f222,BA4722,Insured_194,600664650,repair_37,collision,OF5903,1
ES14234477,2024-07-31,5e9d92cf,Zone_27,31 Avenida Central,insured_120@mail.com,6089ff9f,JL2882,Insured_120,600354258,repair_21,collision,,1
ES71007570,2024-07-31,26e7f538,Zone_22,38 Avenida Central,insured_15@mail.com,9469791a,NI8555,Insured_15,600768374,repair_29,injury,AP1093,1
ES67781085,2024-07-31,d88fa9c6,Zone_69,5 Avenida Central,insured_62@mail.com,b318fe3e,MF9165,Insured_62,600335293,repair_27,injury,NL9999,1
ES12961077,2024-07-31,bdb8cc65,Zone_15,22 Avenida Central,insured_162@mail.com,2b971400,PD7111,Insured_162,600379103,repair_6,injury,PI8769,1
ES87084490,2024-07-31,5baa7dfc,Zone_50,18 Avenida Central,insured_187@mail.com,30dd5dfb,CN1110,Insured_187,600446081,repair_9,collision,KO6483,1
ES51016557,2024-07-31,8554a2c8,Zone_47,35 Avenida Central,insured_74@mail.com,98063b16,CA9909,Insured_74,600826184,repair_23,injury,,1
