insurer_email,n_claims,fraud_rate
user1617@ex.com,1,0.0
user1619@ex.com,1,0.0
user1621@ex.com,1,0.0
user1622@ex.com,1,0.0
user1624@ex.com,3,0.0
user1625@ex.com,1,0.0
user1626@ex.com,2,0.0
user1629@ex.com,2,0.0
user162@ex.com,2,1.0
user1630@ex.com,1,0.0
user1631@ex.com,4,0.0
user1632@ex.com,1,0.0
user1634@ex.com,2,0.5
user1636@ex.com,1,0.0
user1637@ex.com,1,1.0
user163@ex.com,2,0.0
user1640@ex.com,1,0.0
user1644@ex.com,1,0.0
user1646@ex.com,1,0.0
user1647@ex.com,1,0.0
user1649@ex.com,1,0.0
user164@ex.com,2,0.5
user1650@ex.com,2,0.5
user1651@ex.com,1,1.0
user1655@ex.com,4,0.0
user1657@ex.com,1,0.0
user1658@ex.com,1,0.0
user165@ex.com,1,0.0
user1660@ex.com,1,0.0
user1661@ex.com,1,0.0
user1662@ex.com,1,0.0
user1663@ex.com,1,0.0
user1665@ex.com,1,0.0
user1666@ex.com,2,0.0
user1668@ex.com,2,0.5
user166@ex.com,1,0.0
user1671@ex.com,1,0.0
user1673@ex.com,1,0.0
user1678@ex.com,2,0.5
user1680@ex.com,2,0.0
user1682@ex.com,1,0.0
user1683@ex.com,1,0.0
user1685@ex.com,1,0.0
user1687@ex.com,1,0.0
user1689@ex.com,1,1.0
user168@ex.com,3,0.0
user1691@ex.com,2,0.5
user1693@ex.com,1,0.0
user1694@ex.com,1,0.0
user1695@ex.com,2,0.0
user1697@ex.com,2,0.5
user1698@ex.com,1,0.0
user1699@ex.com,1,0.0
user1702@ex.com,3,0.0
user1704@ex.com,1,1.0
user1705@ex.com,3,0.3333333333333333
user1707@ex.com,2,0.0
user1708@ex.com,1,0.0
user1709@ex.com,2,0.5
user170@ex.com,2,0.5
user1712@ex.com,1,0.0
user1714@ex.com,1,0.0
user1715@ex.com,3,0.0
user1716@ex.com,1,0.0
user1717@ex.com,3,0.3333333333333333
user1718@ex.com,1,0.0
user1719@ex.com,2,0.5
user1721@ex.com,1,0.0
user1723@ex.com,2,0.5
user1724@ex.com,3,0.3333333333333333
user1725@ex.com,2,0.0
user1729@ex.com,2,0.0
user1731@ex.com,3,0.0
user1732@ex.com,1,0.0
user1733@ex.com,1,0.0
user1734@ex.com,2,0.0
user1738@ex.com,1,0.0
user1739@ex.com,4,0.0
user173@ex.com,3,0.6666666666666666
user1740@ex.com,2,0.0
user1741@ex.com,1,0.0
user1744@ex.com,2,0.0
user1747@ex.com,1,0.0
user1748@ex.com,1,1.0
user1749@ex.com,1,0.0
user174@ex.com,2,0.0
user1750@ex.com,1,0.0
user1753@ex.com,1,0.0
user1754@ex.com,1,0.0
user1755@ex.com,1,0.0
user1756@ex.com,2,0.0
user1757@ex.com,1,0.0
user1758@ex.com,1,0.0
user1759@ex.com,4,0.5
user175@ex.com,2,0.5
user1760@ex.com,2,0.0
user1762@ex.com,1,0.0
user1763@ex.com,1,0.0
user1766@ex.com,2,0.0
user1768@ex.com,3,0.0
user176@ex.com,1,0.0
user1770@ex.com,1,0.0
user1771@ex.com,2,0.0
user1774@ex.com,2,0.0
user1776@ex.com,2,0.5
user1777@ex.com,3,0.0
user1778@ex.com,1,0.0
user1779@ex.com,2,0.0
user177@ex.com,1,0.0
user1781@ex.com,2,0.0
user1786@ex.com,2,0.0
user1787@ex.com,3,0.0
user178@ex.com,1,0.0
user1790@ex.com,1,0.0
user1791@ex.com,1,0.0
user1792@ex.com,1,0.0
user1793@ex.com,3,0.0
user1795@ex.com,3,0.0
user1796@ex.com,2,0.0
user1797@ex.com,1,0.0
user179@ex.com,2,0.0
user1800@ex.com,1,0.0
user1801@ex.com,1,0.0
user1804@ex.com,1,0.0
user1805@ex.com,1,0.0
user1807@ex.com,2,0.0
user1809@ex.com,2,0.0
user180@ex.com,1,0.0
user1810@ex.com,1,0.0
user1812@ex.com,2,0.0
user1813@ex.com,2,0.0
user1817@ex.com,3,0.3333333333333333
user1818@ex.com,1,0.0
user181@ex.com,1,0.0
user1820@ex.com,1,0.0
user1822@ex.com,4,0.25
user1823@ex.com,5,0.2
user1825@ex.com,4,0.0
user1827@ex.com,2,0.0
user1828@ex.com,2,0.0
user1829@ex.com,1,0.0
user182@ex.com,2,0.0
user1830@ex.com,1,0.0
user1831@ex.com,2,0.0
user1832@ex.com,4,0.25
user1833@ex.com,1,0.0
user1834@ex.com,2,0.0
user1835@ex.com,1,0.0
user1840@ex.com,2,0.0
user1841@ex.com,1,0.0
user1842@ex.com,1,0.0
user1843@ex.com,2,0.0
user1844@ex.com,1,0.0
user1845@ex.com,1,0.0
user1846@ex.com,1,1.0
user1848@ex.com,4,0.5
user184@ex.com,1,1.0
user1851@ex.com,2,0.0
user1852@ex.com,1,0.0
user1854@ex.com,1,0.0
user1856@ex.com,4,0.5
user1857@ex.com,1,0.0
user1859@ex.com,1,0.0
user1860@ex.com,1,1.0
user1861@ex.com,1,0.0
user1863@ex.com,1,1.0
user1864@ex.com,1,0.0
user1867@ex.com,1,1.0
user1869@ex.com,1,0.0
user1871@ex.com,2,0.0
user1872@ex.com,1,0.0
user1875@ex.com,2,0.0
user1877@ex.com,1,0.0
user1878@ex.com,2,0.5
user187@ex.com,2,0.0
user1881@ex.com,1,0.0
user1882@ex.com,2,0.0
user1883@ex.com,1,0.0
user1884@ex.com,5,0.0
user1885@ex.com,1,0.0
user1886@ex.com,1,0.0
user1890@ex.com,1,0.0
user1891@ex.com,1,0.0
user1893@ex.com,1,0.0
user1895@ex.com,4,0.5
user1896@ex.com,2,0.0
user1897@ex.com,2,0.5
user1898@ex.com,1,0.0
user189@ex.com,1,1.0
user18@ex.com,2,0.0
user1900@ex.com,1,0.0
user1903@ex.com,3,0.3333333333333333
user1904@ex.com,1,0.0
user1906@ex.com,2,0.5
user1907@ex.com,1,0.0
user1909@ex.com,1,0.0
user190@ex.com,3,0.0
user1910@ex.com,2,0.0
user1911@ex.com,1,0.0
user1912@ex.com,1,0.0
user1914@ex.com,2,0.0
user1915@ex.com,2,0.0
user1916@ex.com,2,0.0
user1918@ex.com,1,1.0
user191@ex.com,1,0.0
user1921@ex.com,3,0.0
user1922@ex.com,4,0.0
user1923@ex.com,1,0.0
user1925@ex.com,1,0.0
user1929@ex.com,2,0.0
user1932@ex.com,1,0.0
user1934@ex.com,1,0.0
user1938@ex.com,2,0.0
user1939@ex.com,3,0.0
user193@ex.com,1,0.0
user1944@ex.com,1,0.0
user1946@ex.com,1,0.0
user1948@ex.com,1,0.0
user1949@ex.com,2,0.0
user194@ex.com,1,0.0
user1951@ex.com,1,0.0
user1954@ex.com,2,0.0
user1955@ex.com,1,0.0
user1956@ex.com,1,0.0
user1957@ex.com,2,0.0
user1958@ex.com,1,0.0
user1959@ex.com,2,0.0
user1960@ex.com,2,0.0
user1961@ex.com,1,0.0
user1962@ex.com,1,1.0
user1965@ex.com,1,0.0
user1966@ex.com,1,0.0
user1968@ex.com,2,0.0
user1969@ex.com,1,0.0
user1971@ex.com,4,0.25
user1972@ex.com,1,0.0
user1973@ex.com,1,0.0
user1974@ex.com,1,0.0
user1977@ex.com,2,0.0
user1979@ex.com,1,0.0
user1980@ex.com,1,0.0
user1981@ex.com,2,0.0
user1982@ex.com,1,0.0
user1983@ex.com,1,0.0
user1985@ex.com,3,0.3333333333333333
user1986@ex.com,1,0.0
user1988@ex.com,1,1.0
user198@ex.com,1,0.0
user1990@ex.com,1,0.0
user1992@ex.com,2,0.0
user1993@ex.com,1,0.0
user1995@ex.com,2,0.0
user1996@ex.com,1,0.0
user1998@ex.com,1,0.0
user1@ex.com,1,0.0
user2002@ex.com,1,0.0
user2003@ex.com,2,0.0
user2004@ex.com,1,0.0
user2005@ex.com,1,0.0
user2006@ex.com,1,0.0
user2007@ex.com,2,0.0
user2008@ex.com,1,0.0
user2009@ex.com,1,0.0
user200@ex.com,2,0.0
user2010@ex.com,2,0.0
user2011@ex.com,2,0.0
user2012@ex.com,1,0.0
user2014@ex.com,2,0.0
user2017@ex.com,7,0.0
user2018@ex.com,2,0.5
user201@ex.com,2,0.0
user2020@ex.com,1,0.0
user2023@ex.com,1,0.0
user2024@ex.com,1,0.0
user2025@ex.com,1,1.0
user2028@ex.com,1,1.0
user2031@ex.com,1,0.0
user2032@ex.com,2,0.5
user2033@ex.com,1,0.0
user2034@ex.com,1,0.0
user2035@ex.com,2,0.0
user2036@ex.com,1,0.0
user2037@ex.com,1,0.0
user2039@ex.com,1,0.0
user203@ex.com,2,0.0
user2042@ex.com,1,0.0
user2043@ex.com,1,0.0
user2045@ex.com,1,1.0
user2046@ex.com,2,0.5
user2047@ex.com,1,0.0
user2049@ex.com,1,0.0
user2052@ex.com,1,0.0
user2053@ex.com,2,0.0
user2056@ex.com,3,0.6666666666666666
user2057@ex.com,1,0.0
user2058@ex.com,1,0.0
user2059@ex.com,1,0.0
user2060@ex.com,1,0.0
user2061@ex.com,1,0.0
user2062@ex.com,1,0.0
user2063@ex.com,1,0.0
user2064@ex.com,2,0.0
user2066@ex.com,2,0.0
user2068@ex.com,1,1.0
user206@ex.com,1,0.0
user2070@ex.com,1,0.0
user2072@ex.com,2,0.0
user2073@ex.com,2,0.0
user2074@ex.com,2,0.5
user2075@ex.com,1,0.0
user2077@ex.com,1,0.0
user2081@ex.com,1,1.0
user2083@ex.com,1,0.0
user2084@ex.com,1,0.0
user2085@ex.com,1,0.0
user2087@ex.com,2,0.0
user2088@ex.com,2,0.0
user2089@ex.com,2,0.0
user2091@ex.com,2,0.0
user2094@ex.com,2,0.0
user2097@ex.com,1,0.0
user2098@ex.com,1,0.0
user2099@ex.com,3,0.0
user209@ex.com,1,0.0
user20@ex.com,1,0.0
user2100@ex.com,5,0.2
user2102@ex.com,1,0.0
user2103@ex.com,1,0.0
user2104@ex.com,1,0.0
user2105@ex.com,1,0.0
user2108@ex.com,2,0.0
user2111@ex.com,1,0.0
user2114@ex.com,2,0.0
user2116@ex.com,1,0.0
user2117@ex.com,3,0.6666666666666666
user2119@ex.com,3,0.3333333333333333
user211@ex.com,1,0.0
user2121@ex.com,1,0.0
user2122@ex.com,1,0.0
user2123@ex.com,1,0.0
user2124@ex.com,1,0.0
user2127@ex.com,1,0.0
user212@ex.com,3,0.0
user2130@ex.com,1,0.0
user2131@ex.com,1,0.0
user2132@ex.com,2,0.0
user2133@ex.com,1,0.0
user2134@ex.com,1,0.0
user2135@ex.com,3,0.3333333333333333
user2136@ex.com,1,0.0
user2137@ex.com,2,0.0
user2140@ex.com,1,0.0
user2141@ex.com,1,0.0
user2144@ex.com,1,0.0
user2147@ex.com,1,0.0
user2149@ex.com,1,0.0
user214@ex.com,1,1.0
user2150@ex.com,1,0.0
user2152@ex.com,4,0.25
user2155@ex.com,3,0.0
user2156@ex.com,1,0.0
user2157@ex.com,1,0.0
user2158@ex.com,1,0.0
user2159@ex.com,3,0.0
user215@ex.com,1,0.0
user2160@ex.com,3,0.3333333333333333
user2162@ex.com,1,1.0
user2167@ex.com,1,0.0
user2168@ex.com,1,0.0
user2169@ex.com,1,0.0
user216@ex.com,3,0.3333333333333333
user2171@ex.com,1,0.0
user2174@ex.com,1,0.0
user2175@ex.com,1,0.0
user2178@ex.com,3,0.3333333333333333
user2180@ex.com,2,0.0
user2183@ex.com,1,0.0
user2184@ex.com,3,0.0
user2186@ex.com,1,0.0
user2187@ex.com,1,1.0
user2188@ex.com,2,1.0
user2189@ex.com,1,1.0
user218@ex.com,1,0.0
user2190@ex.com,2,0.5
user2191@ex.com,3,0.0
user2193@ex.com,1,0.0
user2196@ex.com,1,0.0
user2199@ex.com,1,0.0
user21@ex.com,1,0.0
user2200@ex.com,1,0.0
user2201@ex.com,1,0.0
user2202@ex.com,1,0.0
user2203@ex.com,2,0.0
user2204@ex.com,1,0.0
user2206@ex.com,1,0.0
user2207@ex.com,2,0.0
user2208@ex.com,2,0.0
user2209@ex.com,1,0.0
user220@ex.com,1,0.0
user2210@ex.com,2,0.0
user2211@ex.com,1,1.0
user2212@ex.com,1,0.0
user2213@ex.com,2,0.0
user2214@ex.com,1,0.0
user2215@ex.com,1,0.0
user2219@ex.com,1,0.0
user221@ex.com,2,0.0
user2220@ex.com,1,0.0
user2221@ex.com,1,1.0
user2228@ex.com,1,0.0
user2229@ex.com,1,0.0
user222@ex.com,1,0.0
user2230@ex.com,2,0.5
user2231@ex.com,1,0.0
user2232@ex.com,1,0.0
user2233@ex.com,1,0.0
user2235@ex.com,1,1.0
user2236@ex.com,2,0.0
user2238@ex.com,4,0.0
user2239@ex.com,2,0.0
user223@ex.com,2,0.0
user2240@ex.com,1,0.0
user2243@ex.com,3,0.3333333333333333
user2246@ex.com,1,0.0
user2247@ex.com,1,0.0
user2248@ex.com,2,1.0
user2249@ex.com,1,0.0
user2251@ex.com,2,0.0
user2252@ex.com,1,0.0
user2255@ex.com,2,0.0
user2256@ex.com,3,1.0
user2257@ex.com,2,0.5
user2258@ex.com,2,0.5
user2259@ex.com,2,0.0
user2261@ex.com,2,0.0
user2267@ex.com,4,0.25
user2272@ex.com,2,0.0
user2273@ex.com,2,0.0
user2274@ex.com,2,0.0
user2276@ex.com,3,0.0
user2278@ex.com,1,0.0
user227@ex.com,2,0.0
user2280@ex.com,1,1.0
user2281@ex.com,1,0.0
user2282@ex.com,1,0.0
user2283@ex.com,1,0.0
user2284@ex.com,3,0.3333333333333333
user2286@ex.com,1,0.0
user2290@ex.com,1,0.0
user2291@ex.com,2,0.5
user2294@ex.com,1,0.0
user2295@ex.com,1,0.0
user2296@ex.com,1,0.0
user2298@ex.com,1,0.0
user2299@ex.com,2,0.0
user22@ex.com,1,0.0
user2300@ex.com,1,0.0
user2301@ex.com,2,0.0
user2302@ex.com,2,0.0
user2303@ex.com,1,0.0
user2304@ex.com,1,0.0
user2306@ex.com,1,0.0
user2308@ex.com,2,0.0
user2310@ex.com,3,0.0
user2311@ex.com,1,0.0
user2312@ex.com,1,0.0
user2316@ex.com,1,0.0
user2317@ex.com,1,0.0
user2322@ex.com,2,0.0
user2323@ex.com,1,1.0
user2324@ex.com,1,0.0
user2325@ex.com,1,0.0
user2326@ex.com,1,0.0
user2327@ex.com,1,0.0
user2329@ex.com,4,0.0
user2331@ex.com,1,0.0
user2333@ex.com,1,0.0
user2337@ex.com,1,0.0
user2339@ex.com,1,0.0
user233@ex.com,1,0.0
user2341@ex.com,2,0.0
user2342@ex.com,2,0.0
user2343@ex.com,1,0.0
user2344@ex.com,1,0.0
user2349@ex.com,2,0.0
user234@ex.com,2,0.0
user2350@ex.com,1,0.0
user2353@ex.com,2,0.5
user2356@ex.com,2,0.5
user2359@ex.com,1,0.0
user2361@ex.com,2,0.0
user2365@ex.com,1,0.0
user2366@ex.com,1,1.0
user2367@ex.com,1,0.0
user2369@ex.com,1,0.0
user236@ex.com,2,1.0
user2370@ex.com,1,0.0
user2371@ex.com,1,0.0
user2373@ex.com,1,0.0
user2375@ex.com,2,0.0
user2376@ex.com,2,0.5
user2378@ex.com,1,0.0
user2381@ex.com,2,0.0
user2382@ex.com,1,0.0
user2383@ex.com,1,0.0
user2385@ex.com,2,0.0
user2389@ex.com,1,0.0
user2391@ex.com,1,0.0
user2392@ex.com,3,0.0
user2394@ex.com,1,0.0
user2395@ex.com,2,0.0
user2396@ex.com,3,0.0
user2397@ex.com,1,0.0
user2398@ex.com,4,0.0
user239@ex.com,2,0.5
user23@ex.com,1,0.0
user2400@ex.com,1,0.0
user2402@ex.com,2,0.0
user2403@ex.com,1,0.0
user2404@ex.com,3,0.0
user2405@ex.com,1,0.0
